FORM,DIL,MEANING,DERIVATIONAL TYPE,REFLEXIVE TYPE,NON-VERBAL ROOT,CITE
ad-ágathar,https://dil.ie/255,fears,primary,emotion,N/A,Griffith 2014 pg. 5
ad-cí,https://dil.ie/391,sees,semi,cognition,N/A,-
ad-éitchedar,https://dil.ie/429,detests,derived,emotion,éitig,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
ad-gládathar,https://dil.ie/459,addresses,derived,emotive speech/reciprocal,?,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
ad-muilnethar,https://dil.ie/4895,says again,derived,emotive speech,?,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
ad-tluichethar,https://dil.ie/585,desires/gives thanks,primary,emotion/emotive speech,N/A,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
airlithir,https://dil.ie/2222,counsels,derived,cognition,airle,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
ar-sissedar,https://dil.ie/4312,stands,primary,body posture,N/A,Griffith 2014 pg. 5
cobraithir,https://dil.ie/9847,helps,derived,reaction,cobair,LeMair pg. 63
coínedar (rel.),https://dil.ie/7839,laments,primary,emotive speech,N/A,LeMair pg. 64
comalnaithir,https://dil.ie/10713,fulfills,derived,other,comlann,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
con-dírgedar,https://dil.ie/12073,reproves/directs/aims,primary,other,N/A,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
con-icc,https://dil.ie/12189,is able,semi,other,N/A,-
con-oathar,https://dil.ie/12252,protects,primary,reaction,N/A,-
con-ruidethar,https://dil.ie/12283,intends,derived,cognition,?,LeMair pg. 63
do-cuirethar,https://dil.ie/17442,places/throws,primary,other,N/A,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
do-ecrathar,https://dil.ie/17527,covers,derived,reaction,?,LeMair pg. 63
do-fuisledar,https://dil.ie/17708,stumbles,primary,body posture/non-translational motion,N/A,Griffith 2014 pg. 6
do-futharcair,https://dil.ie/17715,desires,primary,emotion,N/A,Griffith 2014 pg. 6
do-meiccethar,https://dil.ie/18086,despises,primary,emotion,N/A,Griffith 2014 pg. 5
do-moinethar,https://dil.ie/18148,thinks,primary,cognition,N/A,Griffith 2014 pg. 5
fo-cíallathar,https://dil.ie/22525,pays heed,derived,cognition,cíall,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
fo-daim,https://dil.ie/22560,suffers,semi,emotion,N/A,-
follnaithir,https://dil.ie/23133,rules,derived,other,follán,Griffith 2014 pg. 5
fris-áilethar,https://dil.ie/24340,expects,derived,emotion/cognition,áil,Griffith 2014 pg. 5
gainithir,https://dil.ie/25186,is born,primary,spontaneous,N/A,Griffith 2014 pg. 5
in-samlathar,https://dil.ie/28883,compares,derived,direct reflexive,samail,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
in-tuigethar,https://dil.ie/28984,covers,derived,grooming,étach,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
labraithir,https://dil.ie/29252,speaks,derived,emotive speech,labar,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
luaithir,https://dil.ie/30979,moves,primary,translational motion,N/A,-
midithir,https://dil.ie/32192,measures,primary,cognition,N/A,Griffith 2014 pg. 5
molaithir,https://dil.ie/50393,praises,derived,emotive speech,mol,Griffith 2014 pg. 5/Le Mair 2011 pg. 63
ro-cluinethar,https://dil.ie/35401,hears,primary,cognition,N/A,Griffith 2014 pg. 5
ro-finnathar,https://dil.ie/35431,finds out,primary,cognition,N/A,-
ro-fitir,https://dil.ie/35431,knows,primary,cognition,N/A,Griffith 2014 pg. 5
ro-laimethar,https://dil.ie/35508,dares,primary,emotion,N/A,Griffith 2014 pg. 5
seichithir,https://dil.ie/36883,follows,primary,translational motion,N/A,Griffith 2014 pg. 5
